saison,championnat,equipe,points,victoires,nuls,defaites,buts_marques,buts_marques_dom,buts_marques_ext,buts_encaisses,buts_encaisses_dom,buts_encaisses_ext,diff_buts
2020-2021,Bundesliga,Bayern Munich,78,24,6,4,99,64,35,44,21,23,55
2020-2021,Bundesliga,Ein Frankfurt,60,16,12,6,69,37,32,53,20,33,16
2020-2021,Bundesliga,FC Koln,33,8,9,17,34,20,14,60,31,29,-26
2020-2021,Bundesliga,Stuttgart,45,12,9,13,56,27,29,55,26,29,1
2020-2021,Bundesliga,Union Berlin,50,12,14,8,50,32,18,43,18,25,7
2020-2021,Bundesliga,Werder Bremen,31,7,10,17,36,16,20,57,28,29,-21
2020-2021,Bundesliga,Dortmund,64,20,4,10,75,40,35,46,20,26,29
2020-2021,Bundesliga,RB Leipzig,65,19,8,7,60,29,31,32,13,19,28
2020-2021,Bundesliga,Wolfsburg,61,17,10,7,61,32,29,37,16,21,24
2020-2021,Bundesliga,Hertha,35,8,11,15,41,21,20,52,26,26,-11
2020-2021,Bundesliga,Augsburg,36,10,6,18,36,21,15,54,25,29,-18
2020-2021,Bundesliga,Bielefeld,35,9,8,17,26,13,13,52,23,29,-26
2020-2021,Bundesliga,Leverkusen,52,14,10,10,53,34,19,39,22,17,14
2020-2021,Bundesliga,Mainz,39,10,9,15,39,16,23,56,26,30,-17
2020-2021,Bundesliga,M'gladbach,49,13,10,11,64,32,32,56,19,37,8
2020-2021,Bundesliga,Schalke 04,16,3,7,24,25,14,11,86,34,52,-61
2020-2021,Bundesliga,Hoffenheim,43,11,10,13,52,32,20,54,24,30,-2
2020-2021,Bundesliga,Freiburg,45,12,9,13,52,33,19,52,23,29,0
2020-2021,Liga,Eibar,30,6,12,20,29,12,17,52,21,31,-23
2020-2021,Liga,Granada,46,13,7,18,47,25,22,65,25,40,-18
2020-2021,Liga,Cadiz,44,11,11,16,36,17,19,58,30,28,-22
2020-2021,Liga,Alaves,38,9,11,18,36,21,15,57,25,32,-21
2020-2021,Liga,Valladolid,31,5,16,17,34,19,15,57,30,27,-23
2020-2021,Liga,Villarreal,58,15,13,10,60,29,31,44,23,21,16
2020-2021,Liga,Valencia,43,10,13,15,50,34,16,53,23,30,-3
2020-2021,Liga,Getafe,38,9,11,18,28,15,13,43,13,30,-15
2020-2021,Liga,Celta,53,14,11,13,55,30,25,57,30,27,-2
2020-2021,Liga,Huesca,34,7,13,18,34,17,17,53,21,32,-19
2020-2021,Liga,Betis,61,17,10,11,50,27,23,50,21,29,0
2020-2021,Liga,Sociedad,62,17,11,10,59,34,25,38,21,17,21
2020-2021,Liga,Elche,36,8,12,18,34,18,16,55,23,32,-21
2020-2021,Liga,Osasuna,44,11,11,16,37,21,16,48,23,25,-11
2020-2021,Liga,Ath Madrid,86,26,8,4,67,41,26,25,11,14,42
2020-2021,Liga,Barcelona,79,24,7,7,85,44,41,38,20,18,47
2020-2021,Liga,Real Madrid,84,25,9,4,67,33,34,28,13,15,39
2020-2021,Liga,Ath Bilbao,46,11,13,14,46,29,17,42,19,23,4
2020-2021,Liga,Sevilla,77,24,5,9,53,27,26,33,11,22,20
2020-2021,Liga,Levante,41,9,14,15,46,27,19,57,30,27,-11
2020-2021,Ligue 1,Bordeaux,45,13,6,19,42,19,23,56,21,35,-14
2020-2021,Ligue 1,Dijon,21,4,9,25,25,8,17,73,31,42,-48
2020-2021,Ligue 1,Lille,83,24,11,3,64,28,36,23,11,12,41
2020-2021,Ligue 1,Monaco,78,24,6,8,76,43,33,42,21,21,34
2020-2021,Ligue 1,Lorient,42,11,9,18,50,31,19,68,29,39,-18
